,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
90,27998,27974,27931,27964,27957,27947,27924,27886,27895,27887,27900
91,27974,27931,27964,27957,27947,27924,27886,27895,27887,27900,27875
92,27931,27964,27957,27947,27924,27886,27895,27887,27900,27875,27886
93,27964,27957,27947,27924,27886,27895,27887,27900,27875,27886,27892
94,27957,27947,27924,27886,27895,27887,27900,27875,27886,27892,27857
95,27947,27924,27886,27895,27887,27900,27875,27886,27892,27857,27882
96,27924,27886,27895,27887,27900,27875,27886,27892,27857,27882,27901
97,27886,27895,27887,27900,27875,27886,27892,27857,27882,27901,27905
98,27895,27887,27900,27875,27886,27892,27857,27882,27901,27905,27880
99,27887,27900,27875,27886,27892,27857,27882,27901,27905,27880,27875
100,27900,27875,27886,27892,27857,27882,27901,27905,27880,27875,27878
101,27875,27886,27892,27857,27882,27901,27905,27880,27875,27878,27865
102,27886,27892,27857,27882,27901,27905,27880,27875,27878,27865,27882
103,27892,27857,27882,27901,27905,27880,27875,27878,27865,27882,27893
104,27857,27882,27901,27905,27880,27875,27878,27865,27882,27893,27898
105,27882,27901,27905,27880,27875,27878,27865,27882,27893,27898,27906
106,27901,27905,27880,27875,27878,27865,27882,27893,27898,27906,27959
107,27905,27880,27875,27878,27865,27882,27893,27898,27906,27959,27963
108,27880,27875,27878,27865,27882,27893,27898,27906,27959,27963,27953
109,27875,27878,27865,27882,27893,27898,27906,27959,27963,27953,27945
110,27878,27865,27882,27893,27898,27906,27959,27963,27953,27945,27938
111,27865,27882,27893,27898,27906,27959,27963,27953,27945,27938,27951
112,27882,27893,27898,27906,27959,27963,27953,27945,27938,27951,27928
113,27893,27898,27906,27959,27963,27953,27945,27938,27951,27928,27914
114,27898,27906,27959,27963,27953,27945,27938,27951,27928,27914,27923
115,27906,27959,27963,27953,27945,27938,27951,27928,27914,27923,27920
116,27959,27963,27953,27945,27938,27951,27928,27914,27923,27920,27931
117,27963,27953,27945,27938,27951,27928,27914,27923,27920,27931,27934
118,27953,27945,27938,27951,27928,27914,27923,27920,27931,27934,27932
119,27945,27938,27951,27928,27914,27923,27920,27931,27934,27932,27945
120,27938,27951,27928,27914,27923,27920,27931,27934,27932,27945,27939
121,27951,27928,27914,27923,27920,27931,27934,27932,27945,27939,27941
122,27928,27914,27923,27920,27931,27934,27932,27945,27939,27941,27941
