Local time,Open,High,Low,Close,Volume
03.04.2023 01:25:00.000 GMT+0330,27987,28002,27976,28002,0.0003
03.04.2023 01:26:00.000 GMT+0330,28002,28002,27989,27993,0.0001
03.04.2023 01:27:00.000 GMT+0330,27995,28001,27994,28001,0.0001
03.04.2023 01:28:00.000 GMT+0330,28002,28009,28001,28009,0.0001
03.04.2023 01:29:00.000 GMT+0330,28009,28009,27998,27998,0
03.04.2023 01:30:00.000 GMT+0330,27998,27998,27967,27974,0.0002
03.04.2023 01:31:00.000 GMT+0330,27974,27974,27928,27931,0.0002
03.04.2023 01:32:00.000 GMT+0330,27931,27964,27925,27964,0.0004
03.04.2023 01:33:00.000 GMT+0330,27964,27964,27948,27957,0.0001
03.04.2023 01:34:00.000 GMT+0330,27957,27957,27945,27947,0.0001
03.04.2023 01:35:00.000 GMT+0330,27948,27954,27913,27924,0.0002
03.04.2023 01:36:00.000 GMT+0330,27924,27924,27883,27886,0.0001
03.04.2023 01:37:00.000 GMT+0330,27891,27901,27889,27895,0.0003
03.04.2023 01:38:00.000 GMT+0330,27894,27898,27884,27887,0.0001
03.04.2023 01:39:00.000 GMT+0330,27887,27906,27887,27900,0.0001
03.04.2023 01:40:00.000 GMT+0330,27897,27897,27870,27875,0.0001
03.04.2023 01:41:00.000 GMT+0330,27875,27886,27852,27886,0.0003
03.04.2023 01:42:00.000 GMT+0330,27886,27906,27878,27892,0.0003
03.04.2023 01:43:00.000 GMT+0330,27892,27893,27857,27857,0.0001
03.04.2023 01:44:00.000 GMT+0330,27857,27885,27854,27882,0.0004
03.04.2023 01:45:00.000 GMT+0330,27882,27903,27865,27901,0.0004
03.04.2023 01:46:00.000 GMT+0330,27901,27911,27891,27905,0.0002
03.04.2023 01:47:00.000 GMT+0330,27905,27906,27880,27880,0.0001
03.04.2023 01:48:00.000 GMT+0330,27882,27885,27875,27875,0
03.04.2023 01:49:00.000 GMT+0330,27875,27878,27864,27878,0.0001
03.04.2023 01:50:00.000 GMT+0330,27878,27895,27843,27865,0.0002
03.04.2023 01:51:00.000 GMT+0330,27865,27882,27860,27882,0.0002
03.04.2023 01:52:00.000 GMT+0330,27882,27897,27882,27893,0.0002
03.04.2023 01:53:00.000 GMT+0330,27894,27900,27892,27898,0.0001
03.04.2023 01:54:00.000 GMT+0330,27899,27906,27899,27906,0
03.04.2023 01:55:00.000 GMT+0330,27908,27960,27908,27959,0.0003
03.04.2023 01:56:00.000 GMT+0330,27959,27971,27955,27963,0.0002
03.04.2023 01:57:00.000 GMT+0330,27963,27968,27938,27953,0.0002
03.04.2023 01:58:00.000 GMT+0330,27953,27957,27945,27945,0.0002
03.04.2023 01:59:00.000 GMT+0330,27945,27952,27938,27938,0.0001
03.04.2023 02:00:00.000 GMT+0330,27938,27960,27933,27951,0.0002
03.04.2023 02:01:00.000 GMT+0330,27956,27963,27924,27928,0.0002
03.04.2023 02:02:00.000 GMT+0330,27928,27933,27914,27914,0.0001
03.04.2023 02:03:00.000 GMT+0330,27914,27932,27910,27923,0.0003
03.04.2023 02:04:00.000 GMT+0330,27923,27924,27917,27920,0.0001
03.04.2023 02:05:00.000 GMT+0330,27921,27931,27921,27931,0.0001
03.04.2023 02:06:00.000 GMT+0330,27931,27934,27928,27934,0.0001
03.04.2023 02:07:00.000 GMT+0330,27934,27934,27929,27932,0
03.04.2023 02:08:00.000 GMT+0330,27935,27962,27935,27945,0.0003
03.04.2023 02:09:00.000 GMT+0330,27946,27958,27936,27939,0.0002
03.04.2023 02:10:00.000 GMT+0330,27943,27946,27941,27941,0.0002
03.04.2023 02:11:00.000 GMT+0330,27941,27941,27941,27941,0
03.04.2023 02:12:00.000 GMT+0330,27941,27941,27941,27941,0
03.04.2023 02:13:00.000 GMT+0330,27941,27941,27941,27941,0
03.04.2023 02:14:00.000 GMT+0330,27941,27941,27941,27941,0
03.04.2023 02:15:00.000 GMT+0330,27941,27941,27941,27941,0
03.04.2023 02:16:00.000 GMT+0330,27941,27941,27941,27941,0
03.04.2023 02:17:00.000 GMT+0330,27941,27941,27941,27941,0
03.04.2023 02:18:00.000 GMT+0330,27941,27941,27932,27940,0.0002
03.04.2023 02:19:00.000 GMT+0330,27941,27982,27940,27982,0.0008
03.04.2023 02:20:00.000 GMT+0330,27982,28047,27982,28046,0.0009
03.04.2023 02:21:00.000 GMT+0330,28046,28063,28028,28061,0.0007
03.04.2023 02:22:00.000 GMT+0330,28061,28061,28041,28045,0.0003
03.04.2023 02:23:00.000 GMT+0330,28045,28054,28031,28054,0.0003
03.04.2023 02:24:00.000 GMT+0330,28053,28057,28032,28044,0.0003
03.04.2023 02:25:00.000 GMT+0330,28044,28058,28044,28051,0.0002
03.04.2023 02:26:00.000 GMT+0330,28051,28086,28051,28063,0.0005
